,STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
0,1644,"JAGATPUR INDUSTRIAL AREA, CUTTACK ODISHA",Odisha,28,28,28.0,7.1,7.2,7.2,515,842,679,0.4,0.4,0.4,1.2,5.8,3.5,4.0,4.0,4.0,23.0,23.0,23.0
1,1645,"MADHUPATNA- KALYAN NAGAR AREA, CUTTACK, ODISHA",Odisha,27,28,27.5,7.0,7.4,7.2,222,498,360,0.1,1.0,0.6,0.3,6.9,3.6,28.0,28.0,28.0,240.0,240.0,240.0
4,1648,"RANIHAT- MANGALABAGH AREA, CUTTACK, ODISHA",Odisha,25,37,29.0,7.3,8.3,7.7,132,851,336,0.2,23.3,6.7,0.6,10.6,4.7,92000.0,160000.0,143000.0,160000.0,600000.0,215000.0
8,1652,"KALPNA - LAXMINAGAR AREA, BHUBANESWAR, ODISHA",Odisha,29,30,29.5,6.9,7.0,7.0,255,427,341,0.3,0.7,0.5,1.8,6.0,3.9,23.0,23.0,23.0,49.0,49.0,49.0
9,1653,"MANCHESWAR INDUSTRIAL AREA, BHUBANESWAR, ODISHA",Odisha,29,30,29.5,6.3,7.7,7.0,107,235,171,0.1,0.2,0.2,0.7,2.2,1.4,8.0,8.0,8.0,23.0,23.0,23.0
10,1654,"SECRETARIAT- GOVERNOR HOUSE- OLDBUS STAND AREA, BHUBANESWAR, ODISHA",Odisha,29,30,29.5,6.4,7.4,6.9,149,182,166,0.4,2.1,1.3,0.6,0.8,0.7,33.0,33.0,33.0,79.0,79.0,79.0
12,1656,"NEAR JAGANNATH TEMPLE, PURI, ODISHA",Odisha,26,27,26.5,7.9,7.9,7.9,988,1017,1003,0.2,0.3,0.3,2.9,11.0,6.9,130.0,130.0,130.0,540.0,540.0,540.0
13,1657,"HOSPITAL - BUSSTAND- MAUSHIMA TEMPLE AREA, PURI, ODISHA",Odisha,26,27,26.5,7.7,8.3,8.0,761,855,808,0.3,0.6,0.5,2.8,9.3,6.0,13.0,13.0,13.0,220.0,220.0,220.0
