,STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
0,2277,WELL AT VERNA INDI.ESTATE.(M/S CIPLA LIMITED),Goa,31.8,32.0,31.9,6.9,7.0,7.0,250,1486,868,0.6,0.8,0.7,0.0,1.3,0.7,5.0,5.0,5.0,11.0,11.0,11.0
1,2278,WELL AT SANCOALE INDL.ESTATE,Goa,29.0,31.6,30.3,6.2,7.3,6.7,94,1439,767,0.6,0.7,0.7,0.1,1.1,0.6,17.0,17.0,17.0,33.0,33.0,33.0
4,2281,WELL AT CORLIM INDL. ESTATE,Goa,28.5,30.0,29.3,5.4,6.1,5.8,45,1420,733,0.2,1.1,0.7,0.1,0.3,0.2,23.0,49.0,36.0,79.0,170.0,125.0
5,2282,WELL AT PILERNE INDUSTRIAL ESTATE(M/S UNICHEM ),Goa,31.0,31.6,31.3,5.9,7.0,6.4,155,1497,826,0.2,0.3,0.3,0.3,1.2,0.7,23.0,23.0,23.0,79.0,79.0,79.0
6,3193,BORE WELL AT CUNCOLIM INDUSTRIAL ESTATE,Goa,29.2,32.2,30.7,7.0,7.0,7.0,14,328,171,0.1,3.0,1.6,0.0,0.2,0.1,2.0,13.0,8.0,13.0,33.0,23.0
7,3194,BORE WELL AT BETHORA INDUSTRIAL ESTATE,Goa,30.0,31.0,30.5,5.5,6.9,6.2,83,1429,756,0.7,1.6,1.2,0.9,1.4,1.2,8.0,8.0,8.0,17.0,17.0,17.0
8,3195,BORE WELL AT MADKAIM INDUSTRIAL ESTATE,Goa,31.5,31.6,31.6,6.7,7.9,7.3,253,1404,829,0.9,1.5,1.2,0.1,1.5,0.8,240.0,240.0,240.0,540.0,540.0,540.0
