,STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml,B.O.D. (mg/l) : Min : < 3 mg/l_imp,B.O.D. (mg/l) : Max : < 3 mg/l_imp,B.O.D. (mg/l) : Mean : < 3 mg/l_imp,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml_imp,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml_imp,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml_imp,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml_imp,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml_imp,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml_imp
13,1810,"B/W - SRI RAMNAGAR COLONY, SAKKAR NAGAR, BODHAN, NIZAMABAD DIST. , A.P",ANDHRA PRADESH,28,28.0,28.0,7.5,7.5,7.5,1462,1462,1462,1.0,1.0,1.0,5.0,5.0,5.0,10.0,10.0,10.0,64.0,64.0,64.0,1.0,1.0,1.0,10.0,10.0,10.0,64.0,64.0,64.0
14,1811,"B/W. - PRIMARY SCHOOL - RUDRAVELLI (V) , BIBINAGAR (M), NALGONDA DIST., A.P",ANDHRA PRADESH,29,29.0,29.0,6.9,6.9,6.9,4010,4010,4010,1.8,1.8,1.8,2.0,2.0,2.0,10.0,10.0,10.0,32.0,32.0,32.0,1.8,1.8,1.8,10.0,10.0,10.0,32.0,32.0,32.0
15,3087,"BORE WELL NEAR VILLAGE SECRETARIAT, PATHAPADU (V), KRISHNA, A.P.",ANDHRA PRADESH,23,23.0,23.0,7.1,7.1,7.1,1976,1976,1976,,,,5.2,5.2,5.2,,,,400.0,400.0,400.0,1.0,1.0,1.4,9.0,0.0,9.0,400.0,400.0,400.0
16,3088,"B/W AT J.NARASIMHA RAOS HOUSE, 14NOS. AREA, RAMAVARAM, NEAR MWS DUMPSITE, KOTHAGUDEM, KHAMMAM, A.P.",ANDHRA PRADESH,20,20.0,20.0,7.2,7.2,7.2,1700,1700,1700,,,,0.7,0.7,0.7,,,,400.0,400.0,400.0,0.6,24.0,1.1,10.0,3.0,16.0,400.0,400.0,400.0
17,3089,"HAND PUMP AT TANAM VILL., VISHAKHAPATNAM, A.P.",ANDHRA PRADESH,25,25.0,25.0,7.7,7.7,7.7,2951,2951,2951,1.2,1.2,1.2,4.7,4.7,4.7,4.0,4.0,4.0,9.0,9.0,9.0,1.2,1.2,1.2,4.0,4.0,4.0,9.0,9.0,9.0
18,3090,"HAND PUMP AT PITTAVANIPALEM, VISHAKHAPATNAM , A.P.",ANDHRA PRADESH,26,26.0,26.0,7.2,7.2,7.2,2311,2311,2311,1.0,1.0,1.0,8.6,8.6,8.6,120.0,120.0,120.0,2400.0,2400.0,2400.0,1.0,1.0,1.0,120.0,120.0,120.0,2400.0,2400.0,2400.0
19,3091,"BORE WELL AT KAPULUPPADA DUMPSITE, VISHAKHAPATNAM, A.P.",ANDHRA PRADESH,25,25.0,25.0,7.8,7.8,7.8,2608,2608,2608,1.0,1.0,1.0,8.8,8.8,8.8,4.0,4.0,4.0,28.0,28.0,28.0,1.0,1.0,1.0,4.0,4.0,4.0,28.0,28.0,28.0
20,3092,"BORE WELL AT ARINAMA AKKIVALASA, SRIKAKULAM, A.P.",ANDHRA PRADESH,25,25.0,25.0,7.6,7.6,7.6,911,911,911,1.0,1.0,1.0,3.5,3.5,3.5,9.0,9.0,9.0,120.0,120.0,120.0,1.0,1.0,1.0,9.0,9.0,9.0,120.0,120.0,120.0
21,3093,"B/W AT ALLADAPALEM VILLAGE, PYDIBHIMAVARAM, DISTT SRIKAKULAM, A.P.",ANDHRA PRADESH,25,25.0,25.0,7.9,7.9,7.9,2096,2096,2096,1.0,1.0,1.0,6.3,6.3,6.3,4.0,4.0,4.0,11.0,11.0,11.0,1.0,1.0,1.0,4.0,4.0,4.0,11.0,11.0,11.0
22,3094,"Bore well at Akbarnagar, Ramagundam ",ANDHRA PRADESH,0,0.0,0.0,7.6,7.6,7.6,896,896,896,16.0,16.0,16.0,0.0,0.0,0.0,,,,,,,16.0,16.0,16.0,0.0,10.0,0.0,28.0,400.0,14.0
23,1791,Borewell at Pydipally near East side of Sai cheruvu ,ANDHRA PRADESH,0,0.0,0.0,7.9,7.9,7.9,1184,1184,1184,34.0,34.0,34.0,0.0,0.0,0.0,,,,,,,34.0,34.0,34.0,0.0,23.0,0.0,400.0,120.0,32.0
24,1792,"Borewell at CKM College, Enamamula ",ANDHRA PRADESH,0,0.0,0.0,8.1,8.1,8.1,1312,1312,1312,56.0,56.0,56.0,0.0,0.0,0.0,,,,,,,56.0,56.0,56.0,4.0,120.0,9.0,30.0,150.0,36.0
25,1793,Open well at Kundanpally near ash ponds of NTPC ,ANDHRA PRADESH,0,0.0,0.0,8.1,8.1,8.1,1784,1784,1784,21.0,21.0,21.0,0.0,0.0,0.0,,,,,,,21.0,21.0,21.0,10.0,4.0,0.0,9.0,2400.0,36.0
26,1794,Borewell at Manakondur ,ANDHRA PRADESH,0,0.0,0.0,8.0,8.0,8.0,1099,1099,1099,24.0,24.0,24.0,0.0,0.0,0.0,,,,,,,24.0,24.0,24.0,10.0,9.0,4.0,120.0,86.0,400.0
27,16,Open well at Tadavai ,ANDHRA PRADESH,0,0.0,0.0,7.6,7.6,7.6,1577,1577,1577,12.0,12.0,12.0,0.0,0.0,0.0,,,,,,,12.0,12.0,12.0,9.0,10.0,0.0,86.0,2400.0,120.0
28,26,Borewell at Vijayawada,ANDHRA PRADESH,22,22.0,22.0,7.3,7.3,7.3,1738,1738,1738,,,,0.95,0.95,1.0,,,,400.0,400.0,400.0,1.0,1.8,1.0,3.0,4.0,0.0,400.0,400.0,400.0
29,27,B/w at Peddavoora ,ANDHRA PRADESH,30,30.0,30.0,7.9,7.9,7.9,497,497,497,1.0,1.0,1.0,3.0,3.0,3.0,10.0,10.0,10.0,24.0,24.0,24.0,1.0,1.0,1.0,10.0,10.0,10.0,24.0,24.0,24.0
