,STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
0,1555,"AT KALA AMB, H.P",HIMACHAL PRADESH,24.0,25.0,24.3,6.7,8.3,7.7,462,501,475,0.8,0.8,0.8,0.5,0.5,0.5,1.0,4.0,2.0,4.0,7.0,5.0
1,1556,"AT PAONTA SAHIB, H.P",HIMACHAL PRADESH,22.0,23.0,22.3,6.9,8.0,7.6,436,564,521,0.4,0.8,0.5,0.6,0.7,0.7,1.0,5.0,2.0,4.0,8.0,5.0
8,1872,SHIMLA D/S OF MSW DUMPING SIOT,HIMACHAL PRADESH,7.0,20.0,13.0,5.9,7.9,7.0,268,632,489,0.8,35.0,6.9,0.0,10.1,2.5,8.0,40.0,17.0,28.0,168.0,77.0
10,1874,SOLAN-D/S OF MSW DUMPING SIOT-,HIMACHAL PRADESH,14.5,22.0,17.7,6.9,7.9,7.5,215,572,389,0.1,2.4,1.2,0.0,10.6,1.9,6.0,40.0,15.0,8.0,84.0,28.0
11,1875,MANDI-D/S OF MSW DUMPING SIOT,HIMACHAL PRADESH,13.0,18.0,16.0,8.1,8.5,8.3,244,592,357,0.5,16.0,4.7,0.1,0.9,0.3,26.0,94.0,70.0,180.0,280.0,235.0
15,1880,KALA AMB INDUSTRIAL AREA,HIMACHAL PRADESH,24.0,25.0,24.3,7.2,8.2,7.9,574,606,585,0.7,8.0,3.1,0.6,0.6,0.6,1.0,3.0,2.0,5.0,5.0,5.0
16,1881,PAONTA SAHIB INDUSTRIAL AREA,HIMACHAL PRADESH,23.0,24.0,23.3,6.9,7.9,7.5,365,537,480,0.7,0.8,0.8,0.8,0.8,0.8,1.0,1.0,1.0,2.0,5.0,4.0
36,2645,HAND PUMP AT NAHAN,HIMACHAL PRADESH,21.0,24.5,22.2,6.7,7.9,7.5,600,648,632,0.8,0.9,0.9,0.8,0.8,0.8,1.0,3.0,2.0,5.0,8.0,6.0
37,2646,HAND PUMP AT KALA AMB,HIMACHAL PRADESH,21.0,24.0,22.0,6.9,8.3,7.8,436,1250,979,0.7,0.8,0.7,0.6,0.8,0.8,1.0,2.0,1.0,5.0,5.0,5.0
