STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,pH : Min : 6.5-8.5,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,CONDUCTIVITY (µmhos/cm) : Min,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,B.O.D. (mg/l) : Min : < 3 mg/l,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l) : Min,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml
1944,KHARAGPUR INDUSTRIAL AREA,WEST BENGAL,30,30,30,7.2,7.4,7.3,100,116,108,0.6,0.8,0.7,1,1.5,1.2,NA,NA,NA,NA,NA,NA
1945,ENGLISH BAZAR- MALDAH,WEST BENGAL,24,26,25,7,7.6,7.3,398,590,494,0.6,0.8,0.7,0.1,1.1,0.6,NA,NA,NA,NA,NA,NA
2510,GEOKHALI BUNGLOW MIDNAPUR-EAST,WEST BENGAL,27,28.5,27.8,7.2,7.5,7.3,1008,1016,1012,0.4,0.8,0.6,0,0,0,NA,NA,NA,NA,NA,NA
2515,"SDO OFFICE, RANAGHAT",WEST BENGAL,26,29,27.5,7.2,7.9,7.5,429,500,465,0.2,0.7,0.5,0.1,0.7,0.4,NA,NA,NA,NA,NA,NA
2516,"SDO OFFICE, KRISHNANAGAR",WEST BENGAL,27,29,28,7.1,8,7.6,426,663,545,0.1,0.4,0.2,0.2,0.3,0.2,NA,NA,NA,NA,NA,NA
2526,FULBARI BARRAGE,WEST BENGAL,26,28,27,7,7.4,7.2,85,101,93,0.2,1.2,0.7,0.1,0.3,0.2,70,80,75,120,140,130
2528,GROUND WATER POINT INSIDE BURDWAN UNIVERSITY,WEST BENGAL,29,29.5,29.3,7.1,7.5,7.3,752,796,774,0.8,2.5,1.6,0.4,0.5,0.5,2,2,2,4,4,4
2529,GROUND WATER POINT NEAR BURDWAN STATION,WEST BENGAL,28,29,28.5,6.8,7.5,7.1,663,714,689,0.4,0.9,0.7,0.7,0.7,0.7,NA,NA,NA,NA,NA,NA
2530,HOT SPRING AT BAKRESHWAR,WEST BENGAL,66,68,67,9.3,9.3,9.3,552,594,573,1.1,1.9,1.5,0.4,0.4,0.4,NA,NA,NA,NA,NA,NA
2533,SURI TOWN NEAR BUS STAND,WEST BENGAL,29,29,29,6.1,7.4,6.7,660,929,795,0.7,1.3,1,0.6,0.8,0.7,NA,NA,NA,NA,NA,NA
