,State,0,1,2,3,4,5
0,andhra_pradesh,0.0002780925671411635,-2.2089924671756687,-2.046554832557883,-0.13120527763753934,-1.491718509670503,-1.6155891911587585
1,andhra_pradesh,2.492833473181638,-5.398809585344466,-2.1475026710852974,-0.3757304662514332,-3.757643528686484,-1.5816605534096182
2,andhra_pradesh,0.730012438419007,0.3083592364318177,-1.255468894493783,1.9730214721601387,-1.7567418941969162,-0.6520435561900635
3,andhra_pradesh,-0.34730269206463765,-0.9389592682157218,-1.9856736044594203,1.183018460475724,-3.643301134210967,-2.136253390086609
4,andhra_pradesh,0.5948997165924765,-2.3809205216065936,-0.9807258492674258,-1.6943923870595128,-0.6327378536880702,-2.117874688140778
5,andhra_pradesh,0.01214863907443366,0.1883906252500231,-0.8255111163839334,-0.03279507607762712,0.05463672919390372,-0.44723152768186375
6,andhra_pradesh,-0.3424279366874673,1.3583646082851484,-1.1453790237782409,0.984587540710645,0.5839117963254152,-1.1543206350371444
7,andhra_pradesh,1.385932240422162,-0.8536499603045112,-0.7934802038139449,-0.46142388055911304,0.19187293699950697,0.1612271458811865
8,andhra_pradesh,-0.09784968282358457,-1.8562724786625426,-1.4670676092420303,-0.7784009783478888,-1.617984636993786,-1.3639735042841907
9,andhra_pradesh,4.261503335900662,-3.3386626985114094,-0.28225438449302526,-0.3217519346721402,-1.8245031200351773,2.7166800499334096
10,andhra_pradesh,2.5007301111483717,-3.372967155877708,-1.017136403194928,-1.5665397771587282,-0.45104058584704676,-1.0187048035880621
11,andhra_pradesh,-2.2984652158564405,-7.161907034237421,4.702103084531438,-1.8634302279680928,-2.669462803045315,-3.1500971496531296
12,andhra_pradesh,1.311651100236804,-4.546550996249772,-1.558940863102434,-2.79622892731454,-1.7831718809396258,-2.9657434095445407
13,andhra_pradesh,-0.2301799745207069,-0.5256502712797987,-0.7508494763709008,-1.102423459617793,-0.02925081619863201,-1.8063335172309962
14,andhra_pradesh,1.1092358331655852,-3.0005280147186544,-1.4122172097538783,-1.8101504669185957,-0.8326153244849762,-2.5452103971333386
15,andhra_pradesh,-0.7813455139185301,0.020339923323426237,-1.7533621020854824,1.0981922403048128,-1.5069192763145964,-1.6596720090745474
16,assam,-0.30549758117657055,2.000029306427361,0.13506721606063635,-0.729672655095209,0.6044710101084857,-0.09211519982714966
17,assam,0.5693868752428921,2.4477303776766535,1.461224244096628,-3.0226799692607282,0.24362095247896498,2.5128591266490568
18,assam,-5.543058776953064,-0.877114782694478,3.3337018096797557,-4.89687843953066,-0.23008416732472206,1.3365904424646093
19,assam,0.6498487883053912,2.1802296669414996,0.3406155622685404,-0.14174905663497808,-1.6470874933201052,0.5640670432961267
20,assam,-1.7164131743223352,1.6341858685346198,-0.6763343730976408,-1.0904553340197733,-0.2673957987697081,2.4284187827293127
21,assam,0.08504969445063826,1.649223686752604,0.11791903616560695,-0.6508281476332988,0.1853393358457078,0.3534425634234814
22,assam,-2.6639430382563667,-1.2401100286016098,-0.9603918988703851,-5.451376871230693,-1.436134425476597,-0.5071197796287383
23,assam,-3.7558876628139486,-0.13336294175467586,2.199877762924379,-1.6800683670450818,-0.8782786627338833,1.6745296450190783
24,assam,-1.0367854762529696,1.399866988638303,-0.33313119946398784,-2.385596324606311,2.752771721518424,0.4462117376439611
25,assam,-2.4181857109082197,0.0992813206940686,-1.0206382674294807,-3.715824597008193,2.0463645971069653,0.2687475834389007
26,assam,-1.846995113062346,1.5818159409192316,-0.7077751689740723,-1.3198768281905078,-0.4367629333916573,1.5315128651683207
27,assam,-2.5264264000414567,0.4016121055877545,-1.9840797302571813,-0.3468210416179018,-0.0938149910602812,1.035443418831174
28,assam,-0.38109303478066475,2.026972739711939,0.1211570048724053,-1.7026458832474294,0.7902487302639951,1.238318393498983
29,assam,-1.0109513452319634,-0.33783504674921844,-0.955516643440133,-2.3357440410502526,-1.283992922659324,-1.2879688644776226
30,assam,-4.058945535497487,-3.0588537385144856,1.6676336380136365,-1.2218037452892605,-3.2303994896861554,-1.4583896845242525
31,assam,-3.4178846756200576,-1.153380383545908,-0.5290297939276274,-1.1311237643123893,-1.2823394348701278,0.10805896627188703
32,assam,-4.334807601901737,-2.377332880777715,5.495851498857986,3.36686835749859,0.23473332082895954,1.1349321010259903
33,assam,-3.5378361767254094,-1.0607545837734311,0.2630853170208088,-0.2945530698184388,-1.9240355658240844,0.43393302293598185
34,assam,1.5136032448844312,0.4974457220615468,-0.40327322992696313,0.7855724059678141,-1.4245065023450223,0.40289487599354923
35,assam,-1.0783700713990758,0.20537961300223587,2.007960008106167,-6.961065936674468,3.733454589700772,-2.6813340315410246
36,assam,-1.664261682257299,1.1640408826909348,-0.22685882850692962,-4.1840223623724935,4.511910075912112,-0.7115897199638721
37,bihar,2.8267270566548595,2.2902620442104187,1.7495374233755858,-1.313017633020356,0.5823018818623885,0.3211976574366637
38,bihar,2.475169246628163,2.806424240088566,1.1784724960159054,0.39020778349789537,-0.3843083207850717,-0.6747106207119109
39,bihar,2.994924567935401,2.0261271198393365,1.3019574555360571,-0.31057818661536946,-0.012683340450251452,0.13736271224478164
40,bihar,3.0937305001609006,2.0261093134157697,1.2549521506754653,-0.20426348682631187,0.013709492114149052,-0.038664994745770245
41,bihar,2.808967894078734,1.933645438013593,0.9585998425960731,0.3538129760485846,-0.7076360551066115,0.42652069183945535
42,bihar,2.9972815690120576,2.0262780469217416,1.2952635129734598,-0.3054370244094356,-0.006433507563123459,0.13965943593954488
